Flight_ID,Airline,Distance_km,Departure_Delay_min,Arrival_Delay_min,Delay_Status,Delay Difference,Distance Category , Performance Label
86,Indigo,1294,54,6,OnTime,-48,Short Haul,Good
87,Emirates,4683,46,74,OnTime,28,Medium Long,Poor
88,Emirates,7871,7,106,OnTime,99,Long Haul,Poor
89,Delta,7084,27,97,Delayed,70,Long Haul,Poor
90,Emirates,951,161,128,Delayed,-33,Short Haul,Poor
91,Emirates,10471,50,128,OnTime,78,Long Haul,Poor
92,Delta,10058,140,198,Delayed,58,Long Haul,Poor
93,Lufthansa,389,61,158,Delayed,97,Short Haul,Poor
94,Emirates,296,20,150,Delayed,130,Short Haul,Poor
95,Indigo,6427,61,127,OnTime,66,Medium Long,Poor
96,Delta,2291,99,151,Delayed,52,Short Haul,Poor
97,Indigo,1376,98,141,OnTime,43,Short Haul,Poor
98,Delta,10473,90,103,OnTime,13,Long Haul,Poor
99,Lufthansa,10178,143,169,OnTime,26,Long Haul,Poor
100,Emirates,6893,39,193,OnTime,154,Medium Long,Poor
101,Emirates,3448,14,98,OnTime,84,Medium Long,Poor
102,Lufthansa,6444,168,111,Delayed,-57,Medium Long,Poor
103,Indigo,3582,68,102,OnTime,34,Medium Long,Poor
104,Lufthansa,4958,167,9,Delayed,-158,Medium Long,Good
105,Lufthansa,9195,142,169,OnTime,27,Long Haul,Poor
106,Lufthansa,1579,24,151,Delayed,127,Short Haul,Poor
107,Lufthansa,11518,51,94,Delayed,43,Long Haul,Poor
108,Emirates,7946,111,84,OnTime,-27,Long Haul,Poor
109,Delta,4816,55,67,OnTime,12,Medium Long,Poor
110,Delta,7544,67,170,OnTime,103,Long Haul,Poor
111,Delta,8838,97,159,Delayed,62,Long Haul,Poor
112,Lufthansa,1698,69,96,Delayed,27,Short Haul,Poor
113,Delta,10052,81,155,Delayed,74,Long Haul,Poor
114,Delta,3411,129,141,Delayed,12,Medium Long,Poor
115,Lufthansa,8637,24,164,OnTime,140,Long Haul,Poor
116,Indigo,931,62,39,OnTime,-23,Short Haul,Poor
117,Indigo,2349,49,183,OnTime,134,Short Haul,Poor
118,Lufthansa,11009,120,47,Delayed,-73,Long Haul,Poor
119,Indigo,7184,108,65,Delayed,-43,Long Haul,Poor
120,Lufthansa,8547,112,99,OnTime,-13,Long Haul,Poor
121,Lufthansa,806,178,115,Delayed,-63,Short Haul,Poor
122,Indigo,5105,65,28,Delayed,-37,Medium Long,Good
123,Emirates,8793,129,169,OnTime,40,Long Haul,Poor
124,Indigo,610,144,138,Delayed,-6,Short Haul,Poor
125,Indigo,2132,159,154,Delayed,-5,Short Haul,Poor
126,Indigo,9545,87,135,OnTime,48,Long Haul,Poor
127,Emirates,6497,103,182,OnTime,79,Medium Long,Poor
128,Indigo,5950,83,174,Delayed,91,Medium Long,Poor
129,Indigo,5857,154,136,OnTime,-18,Medium Long,Poor
130,Indigo,9789,149,32,OnTime,-117,Long Haul,Poor
131,Lufthansa,11345,103,8,OnTime,-95,Long Haul,Good
132,Emirates,5941,44,20,Delayed,-24,Medium Long,Good
133,Lufthansa,426,155,24,Delayed,-131,Short Haul,Good
134,Emirates,9276,133,132,OnTime,-1,Long Haul,Poor
135,Delta,1750,83,32,Delayed,-51,Short Haul,Poor
136,Indigo,11661,175,113,Delayed,-62,Long Haul,Poor
137,Emirates,1147,116,13,Delayed,-103,Short Haul,Good
138,Lufthansa,9787,149,103,OnTime,-46,Long Haul,Poor
139,Delta,10154,171,7,Delayed,-164,Long Haul,Good
140,Indigo,9672,146,166,Delayed,20,Long Haul,Poor
141,Emirates,8696,62,129,OnTime,67,Long Haul,Poor
142,Emirates,7281,146,121,OnTime,-25,Long Haul,Poor
143,Indigo,5448,51,20,Delayed,-31,Medium Long,Good
144,Indigo,6835,13,71,Delayed,58,Medium Long,Poor
145,Indigo,4600,66,157,OnTime,91,Medium Long,Poor
146,Indigo,3392,159,84,Delayed,-75,Medium Long,Poor
147,Lufthansa,3786,104,8,OnTime,-96,Medium Long,Good
148,Emirates,10175,90,10,Delayed,-80,Long Haul,Good
149,Indigo,1940,35,159,Delayed,124,Short Haul,Poor
150,Emirates,2832,64,86,Delayed,22,Short Haul,Poor
151,Lufthansa,7263,39,53,Delayed,14,Long Haul,Poor
152,Delta,2687,4,179,OnTime,175,Short Haul,Poor
153,Lufthansa,10177,135,142,Delayed,7,Long Haul,Poor
154,Emirates,9719,111,20,Delayed,-91,Long Haul,Good
155,Lufthansa,8198,165,33,Delayed,-132,Long Haul,Poor
156,Lufthansa,830,83,127,Delayed,44,Short Haul,Poor
157,Emirates,11443,102,136,OnTime,34,Long Haul,Poor
158,Lufthansa,2299,26,139,Delayed,113,Short Haul,Poor
159,Indigo,4545,26,175,Delayed,149,Medium Long,Poor
160,Emirates,7797,42,118,Delayed,76,Long Haul,Poor
161,Lufthansa,7739,67,26,Delayed,-41,Long Haul,Good
162,Lufthansa,1915,169,55,OnTime,-114,Short Haul,Poor
163,Delta,342,39,141,OnTime,102,Short Haul,Poor
164,Delta,1803,77,190,Delayed,113,Short Haul,Poor
165,Emirates,10482,135,132,Delayed,-3,Long Haul,Poor
166,Indigo,10524,145,146,Delayed,1,Long Haul,Poor
167,Indigo,1567,6,88,Delayed,82,Short Haul,Poor
168,Lufthansa,8917,57,138,Delayed,81,Long Haul,Poor
169,Emirates,2882,81,141,Delayed,60,Short Haul,Poor
170,Lufthansa,1628,71,124,Delayed,53,Short Haul,Poor
171,Delta,9227,25,190,OnTime,165,Long Haul,Poor
172,Delta,3887,121,38,OnTime,-83,Medium Long,Poor
173,Lufthansa,10700,118,168,Delayed,50,Long Haul,Poor
174,Delta,3123,129,107,Delayed,-22,Medium Long,Poor
175,Lufthansa,6192,112,155,Delayed,43,Medium Long,Poor
176,Delta,8177,46,119,Delayed,73,Long Haul,Poor
177,Delta,9166,10,44,Delayed,34,Long Haul,Poor
178,Indigo,3255,7,168,OnTime,161,Medium Long,Poor
179,Emirates,3174,106,131,Delayed,25,Medium Long,Poor
180,Lufthansa,5865,150,79,OnTime,-71,Medium Long,Poor
181,Delta,3852,112,161,OnTime,49,Medium Long,Poor
182,Delta,11302,145,73,OnTime,-72,Long Haul,Poor
183,Indigo,6860,86,49,Delayed,-37,Medium Long,Poor
184,Emirates,3316,114,197,Delayed,83,Medium Long,Poor
185,Delta,3131,71,23,Delayed,-48,Medium Long,Good
186,Delta,6636,176,25,OnTime,-151,Medium Long,Good
187,Lufthansa,8281,124,105,Delayed,-19,Long Haul,Poor
188,Delta,11710,53,160,OnTime,107,Long Haul,Poor
189,Delta,10408,131,17,Delayed,-114,Long Haul,Good
190,Delta,6130,104,123,Delayed,19,Medium Long,Poor
191,Lufthansa,1408,69,65,OnTime,-4,Short Haul,Poor
192,Delta,7999,45,21,OnTime,-24,Long Haul,Good
193,Indigo,9041,85,30,OnTime,-55,Long Haul,Good
194,Delta,4074,58,95,Delayed,37,Medium Long,Poor
195,Delta,9900,75,146,OnTime,71,Long Haul,Poor
196,Delta,10684,13,196,OnTime,183,Long Haul,Poor
197,Indigo,2892,76,26,Delayed,-50,Short Haul,Good
198,Delta,9424,48,134,Delayed,86,Long Haul,Poor
199,Delta,2341,172,8,OnTime,-164,Short Haul,Good
200,Delta,11581,18,108,Delayed,90,Long Haul,Poor
201,Delta,6117,45,86,Delayed,41,Medium Long,Poor
202,Indigo,10146,11,146,Delayed,135,Long Haul,Poor
203,Delta,7863,62,96,Delayed,34,Long Haul,Poor
204,Lufthansa,690,158,57,OnTime,-101,Short Haul,Poor
205,Emirates,7968,154,74,OnTime,-80,Long Haul,Poor
206,Emirates,8129,63,160,OnTime,97,Long Haul,Poor
207,Indigo,358,92,145,OnTime,53,Short Haul,Poor
208,Lufthansa,4668,179,10,Delayed,-169,Medium Long,Good
209,Delta,9181,48,18,Delayed,-30,Long Haul,Good
210,Emirates,4958,48,57,Delayed,9,Medium Long,Poor
211,Lufthansa,11105,104,84,Delayed,-20,Long Haul,Poor
212,Delta,1454,117,12,Delayed,-105,Short Haul,Good
213,Lufthansa,11653,141,99,OnTime,-42,Long Haul,Poor
214,Lufthansa,4391,6,153,Delayed,147,Medium Long,Poor
215,Delta,4024,19,138,OnTime,119,Medium Long,Poor
216,Emirates,6522,131,8,OnTime,-123,Medium Long,Good
217,Lufthansa,8465,145,34,Delayed,-111,Long Haul,Poor
218,Delta,6536,143,48,OnTime,-95,Medium Long,Poor
219,Delta,8084,87,110,Delayed,23,Long Haul,Poor
220,Lufthansa,10073,82,175,Delayed,93,Long Haul,Poor
221,Indigo,8763,5,162,OnTime,157,Long Haul,Poor
222,Lufthansa,4083,175,42,Delayed,-133,Medium Long,Poor
223,Emirates,5716,161,62,OnTime,-99,Medium Long,Poor
224,Indigo,10722,73,106,Delayed,33,Long Haul,Poor
225,Emirates,11072,45,183,OnTime,138,Long Haul,Poor
226,Lufthansa,882,133,165,Delayed,32,Short Haul,Poor
227,Delta,5967,124,169,Delayed,45,Medium Long,Poor
228,Delta,5757,168,28,OnTime,-140,Medium Long,Good
229,Emirates,8437,130,91,OnTime,-39,Long Haul,Poor
230,Lufthansa,9982,96,164,OnTime,68,Long Haul,Poor
231,Indigo,4479,25,32,OnTime,7,Medium Long,Poor
232,Delta,10055,6,130,OnTime,124,Long Haul,Poor
233,Delta,5233,18,180,Delayed,162,Medium Long,Poor
234,Emirates,3479,166,14,OnTime,-152,Medium Long,Good
235,Delta,7994,168,137,OnTime,-31,Long Haul,Poor
236,Indigo,5911,19,191,OnTime,172,Medium Long,Poor
237,Lufthansa,9475,61,31,OnTime,-30,Long Haul,Poor
238,Emirates,9824,119,37,Delayed,-82,Long Haul,Poor
239,Delta,9955,136,115,Delayed,-21,Long Haul,Poor
240,Emirates,10325,99,198,OnTime,99,Long Haul,Poor
241,Delta,9519,84,12,OnTime,-72,Long Haul,Good
242,Lufthansa,1153,25,15,Delayed,-10,Short Haul,Good
243,Emirates,533,91,44,OnTime,-47,Short Haul,Poor
244,Lufthansa,5512,105,7,Delayed,-98,Medium Long,Good
245,Indigo,6608,177,87,OnTime,-90,Medium Long,Poor
246,Emirates,6922,2,129,Delayed,127,Medium Long,Poor
247,Emirates,1493,97,106,OnTime,9,Short Haul,Poor
248,Indigo,9372,121,90,OnTime,-31,Long Haul,Poor
249,Lufthansa,8186,136,26,Delayed,-110,Long Haul,Good
250,Lufthansa,4848,55,55,Delayed,0,Medium Long,Poor
251,Lufthansa,8231,50,55,OnTime,5,Long Haul,Poor
252,Delta,3393,165,87,OnTime,-78,Medium Long,Poor
253,Delta,5639,43,103,Delayed,60,Medium Long,Poor
254,Lufthansa,7450,106,4,Delayed,-102,Long Haul,Good
255,Lufthansa,6804,83,96,Delayed,13,Medium Long,Poor
256,Delta,7551,35,65,Delayed,30,Long Haul,Poor
257,Lufthansa,4517,26,133,OnTime,107,Medium Long,Poor
258,Delta,2062,91,65,OnTime,-26,Short Haul,Poor
259,Delta,8009,168,142,OnTime,-26,Long Haul,Poor
260,Delta,5082,124,39,OnTime,-85,Medium Long,Poor
261,Indigo,9536,68,102,Delayed,34,Long Haul,Poor
262,Emirates,3332,1,37,Delayed,36,Medium Long,Poor
263,Emirates,992,132,36,OnTime,-96,Short Haul,Poor
264,Indigo,4875,99,186,OnTime,87,Medium Long,Poor
265,Indigo,7103,150,184,Delayed,34,Long Haul,Poor
266,Delta,221,60,50,OnTime,-10,Short Haul,Poor
267,Lufthansa,7472,6,1,Delayed,-5,Long Haul,Good
268,Indigo,10837,154,149,OnTime,-5,Long Haul,Poor
269,Lufthansa,3095,46,43,OnTime,-3,Medium Long,Poor
270,Indigo,4907,31,75,Delayed,44,Medium Long,Poor
271,Lufthansa,1227,149,43,Delayed,-106,Short Haul,Poor
272,Indigo,2833,110,100,Delayed,-10,Short Haul,Poor
273,Delta,7331,144,38,OnTime,-106,Long Haul,Poor
274,Indigo,4678,36,25,OnTime,-11,Medium Long,Good
275,Delta,10969,108,150,Delayed,42,Long Haul,Poor
276,Emirates,5883,36,112,OnTime,76,Medium Long,Poor
277,Indigo,7486,164,170,OnTime,6,Long Haul,Poor
278,Delta,4900,53,84,Delayed,31,Medium Long,Poor
279,Delta,8984,152,190,Delayed,38,Long Haul,Poor
280,Emirates,5738,161,196,Delayed,35,Medium Long,Poor
281,Delta,5034,166,123,OnTime,-43,Medium Long,Poor
282,Delta,2944,83,94,Delayed,11,Short Haul,Poor
283,Emirates,8905,58,23,OnTime,-35,Long Haul,Good
284,Lufthansa,3401,72,133,OnTime,61,Medium Long,Poor
285,Emirates,8368,1,158,Delayed,157,Long Haul,Poor
286,Emirates,7243,137,103,OnTime,-34,Long Haul,Poor
287,Indigo,9166,81,1,Delayed,-80,Long Haul,Good
288,Lufthansa,452,118,66,Delayed,-52,Short Haul,Poor
289,Indigo,2944,80,85,OnTime,5,Short Haul,Poor
290,Indigo,6317,72,61,OnTime,-11,Medium Long,Poor
291,Lufthansa,9617,155,196,Delayed,41,Long Haul,Poor
292,Emirates,7678,79,170,OnTime,91,Long Haul,Poor
293,Emirates,6810,80,186,OnTime,106,Medium Long,Poor
294,Lufthansa,5088,167,145,OnTime,-22,Medium Long,Poor
295,Delta,11015,21,123,Delayed,102,Long Haul,Poor
296,Delta,9123,8,120,Delayed,112,Long Haul,Poor
297,Indigo,3059,97,109,Delayed,12,Medium Long,Poor
298,Delta,9122,134,70,OnTime,-64,Long Haul,Poor
299,Delta,1255,61,158,Delayed,97,Short Haul,Poor
300,Emirates,11410,108,130,Delayed,22,Long Haul,Poor
301,Delta,379,150,8,Delayed,-142,Short Haul,Good
302,Emirates,7112,118,189,OnTime,71,Long Haul,Poor
303,Emirates,3632,172,153,Delayed,-19,Medium Long,Poor
304,Emirates,4588,170,82,Delayed,-88,Medium Long,Poor
305,Lufthansa,2536,59,99,OnTime,40,Short Haul,Poor
306,Indigo,1705,135,72,Delayed,-63,Short Haul,Poor
307,Delta,4772,142,187,OnTime,45,Medium Long,Poor
308,Lufthansa,6400,27,33,OnTime,6,Medium Long,Poor
309,Delta,8370,167,8,OnTime,-159,Long Haul,Good
310,Lufthansa,4537,108,4,Delayed,-104,Medium Long,Good
311,Indigo,6275,165,8,Delayed,-157,Medium Long,Good
312,Indigo,8649,48,79,OnTime,31,Long Haul,Poor
313,Emirates,11006,65,165,Delayed,100,Long Haul,Poor
314,Emirates,10319,175,61,OnTime,-114,Long Haul,Poor
315,Emirates,1591,57,93,OnTime,36,Short Haul,Poor
316,Emirates,3033,163,197,Delayed,34,Medium Long,Poor
317,Lufthansa,7142,62,72,OnTime,10,Long Haul,Poor
318,Indigo,6700,38,38,OnTime,0,Medium Long,Poor
319,Lufthansa,5677,157,35,OnTime,-122,Medium Long,Poor
320,Emirates,10264,8,26,OnTime,18,Long Haul,Good
321,Indigo,8595,98,82,OnTime,-16,Long Haul,Poor
322,Lufthansa,984,22,199,OnTime,177,Short Haul,Poor
323,Lufthansa,9859,123,65,Delayed,-58,Long Haul,Poor
324,Lufthansa,6912,173,18,Delayed,-155,Medium Long,Good
325,Indigo,5339,127,189,OnTime,62,Medium Long,Poor
326,Delta,10851,141,174,Delayed,33,Long Haul,Poor
327,Emirates,11082,60,44,Delayed,-16,Long Haul,Poor
328,Emirates,10308,166,153,Delayed,-13,Long Haul,Poor
329,Emirates,4552,155,43,OnTime,-112,Medium Long,Poor
330,Delta,9313,88,106,OnTime,18,Long Haul,Poor
331,Indigo,8971,142,130,OnTime,-12,Long Haul,Poor
332,Lufthansa,1550,130,17,OnTime,-113,Short Haul,Good
333,Emirates,6630,161,21,OnTime,-140,Medium Long,Good
334,Indigo,511,4,26,OnTime,22,Short Haul,Good
335,Lufthansa,7686,131,192,Delayed,61,Long Haul,Poor
336,Indigo,3210,53,19,OnTime,-34,Medium Long,Good
337,Indigo,11849,46,73,Delayed,27,Long Haul,Poor
338,Emirates,3648,166,1,OnTime,-165,Medium Long,Good
339,Delta,8405,28,87,OnTime,59,Long Haul,Poor
340,Emirates,2444,10,86,OnTime,76,Short Haul,Poor
341,Delta,10924,8,184,Delayed,176,Long Haul,Poor
342,Emirates,9931,109,133,Delayed,24,Long Haul,Poor
343,Emirates,8195,47,122,Delayed,75,Long Haul,Poor
344,Lufthansa,8010,150,29,OnTime,-121,Long Haul,Good
345,Indigo,6666,31,132,Delayed,101,Medium Long,Poor
346,Delta,11387,98,65,Delayed,-33,Long Haul,Poor
347,Indigo,2531,3,134,OnTime,131,Short Haul,Poor
348,Delta,4092,15,40,OnTime,25,Medium Long,Poor
349,Emirates,3992,146,105,OnTime,-41,Medium Long,Poor
350,Emirates,7472,85,10,OnTime,-75,Long Haul,Good
351,Indigo,11873,121,12,Delayed,-109,Long Haul,Good
352,Lufthansa,1790,156,99,Delayed,-57,Short Haul,Poor
353,Lufthansa,10037,40,65,OnTime,25,Long Haul,Poor
354,Lufthansa,2049,8,191,Delayed,183,Short Haul,Poor
355,Lufthansa,1135,111,153,Delayed,42,Short Haul,Poor
356,Indigo,4591,151,170,Delayed,19,Medium Long,Poor
357,Indigo,7695,51,180,OnTime,129,Long Haul,Poor
358,Indigo,2043,48,124,Delayed,76,Short Haul,Poor
359,Delta,4037,162,48,Delayed,-114,Medium Long,Poor
360,Emirates,5295,151,42,OnTime,-109,Medium Long,Poor
361,Lufthansa,11044,16,56,Delayed,40,Long Haul,Poor
362,Lufthansa,8790,115,41,OnTime,-74,Long Haul,Poor
363,Indigo,10158,122,56,OnTime,-66,Long Haul,Poor
364,Delta,1929,50,17,OnTime,-33,Short Haul,Good
365,Indigo,4705,92,19,OnTime,-73,Medium Long,Good
366,Lufthansa,11565,150,69,OnTime,-81,Long Haul,Poor
367,Lufthansa,4921,166,53,OnTime,-113,Medium Long,Poor
368,Indigo,3670,142,172,OnTime,30,Medium Long,Poor
369,Emirates,2486,29,115,Delayed,86,Short Haul,Poor
370,Lufthansa,7271,26,140,Delayed,114,Long Haul,Poor
371,Lufthansa,9280,40,27,OnTime,-13,Long Haul,Good
372,Lufthansa,9484,60,181,Delayed,121,Long Haul,Poor
373,Lufthansa,9041,51,11,OnTime,-40,Long Haul,Good
374,Delta,6472,169,106,Delayed,-63,Medium Long,Poor
375,Delta,4947,122,126,Delayed,4,Medium Long,Poor
376,Emirates,6898,50,20,Delayed,-30,Medium Long,Good
377,Emirates,5499,148,52,Delayed,-96,Medium Long,Poor
378,Indigo,1726,82,15,Delayed,-67,Short Haul,Good
379,Lufthansa,10087,154,11,Delayed,-143,Long Haul,Good
380,Indigo,748,154,178,OnTime,24,Short Haul,Poor
381,Indigo,9715,157,113,Delayed,-44,Long Haul,Poor
382,Indigo,2406,116,184,OnTime,68,Short Haul,Poor
383,Lufthansa,6580,119,197,OnTime,78,Medium Long,Poor
384,Lufthansa,2456,82,189,OnTime,107,Short Haul,Poor
385,Indigo,4070,105,73,Delayed,-32,Medium Long,Poor
386,Lufthansa,9109,179,94,Delayed,-85,Long Haul,Poor
387,Indigo,7117,122,79,OnTime,-43,Long Haul,Poor
388,Delta,2067,29,110,OnTime,81,Short Haul,Poor
389,Indigo,10256,101,179,OnTime,78,Long Haul,Poor
390,Emirates,684,137,186,Delayed,49,Short Haul,Poor
391,Indigo,8787,83,17,OnTime,-66,Long Haul,Good
392,Indigo,4027,132,33,Delayed,-99,Medium Long,Poor
393,Indigo,3362,63,113,OnTime,50,Medium Long,Poor
394,Indigo,7049,71,142,OnTime,71,Long Haul,Poor
395,Delta,8010,78,172,OnTime,94,Long Haul,Poor
396,Delta,4401,5,144,OnTime,139,Medium Long,Poor
397,Lufthansa,1599,72,178,Delayed,106,Short Haul,Poor
398,Delta,4421,170,69,OnTime,-101,Medium Long,Poor
399,Lufthansa,10416,26,39,Delayed,13,Long Haul,Poor
400,Delta,2059,20,105,Delayed,85,Short Haul,Poor
401,Indigo,11851,50,196,Delayed,146,Long Haul,Poor
402,Emirates,10777,38,154,Delayed,116,Long Haul,Poor
403,Indigo,5950,27,7,Delayed,-20,Medium Long,Good
404,Lufthansa,8204,75,130,OnTime,55,Long Haul,Poor
405,Indigo,6883,116,93,Delayed,-23,Medium Long,Poor
406,Emirates,9969,15,2,Delayed,-13,Long Haul,Good
407,Delta,10178,59,168,Delayed,109,Long Haul,Poor
408,Emirates,11546,44,193,Delayed,149,Long Haul,Poor
409,Delta,11969,34,37,Delayed,3,Long Haul,Poor
410,Lufthansa,1087,4,43,OnTime,39,Short Haul,Poor
411,Lufthansa,7196,156,34,OnTime,-122,Long Haul,Poor
412,Lufthansa,4258,25,49,Delayed,24,Medium Long,Poor
413,Emirates,5976,121,122,Delayed,1,Medium Long,Poor
414,Lufthansa,6343,99,13,Delayed,-86,Medium Long,Good
415,Lufthansa,6478,132,188,Delayed,56,Medium Long,Poor
416,Delta,6865,96,174,Delayed,78,Medium Long,Poor
417,Indigo,8644,76,199,Delayed,123,Long Haul,Poor
418,Indigo,11080,133,92,OnTime,-41,Long Haul,Poor
419,Indigo,5648,124,154,OnTime,30,Medium Long,Poor
420,Indigo,10867,105,2,Delayed,-103,Long Haul,Good
421,Lufthansa,6747,3,85,Delayed,82,Medium Long,Poor
422,Indigo,10152,94,130,OnTime,36,Long Haul,Poor
423,Emirates,269,91,120,Delayed,29,Short Haul,Poor
424,Lufthansa,2904,9,111,OnTime,102,Short Haul,Poor
425,Lufthansa,8340,87,8,OnTime,-79,Long Haul,Good
426,Delta,4114,52,192,OnTime,140,Medium Long,Poor
427,Indigo,9636,141,62,Delayed,-79,Long Haul,Poor
428,Indigo,799,164,157,OnTime,-7,Short Haul,Poor
429,Indigo,8679,158,127,Delayed,-31,Long Haul,Poor
430,Emirates,9291,156,70,Delayed,-86,Long Haul,Poor
431,Delta,715,82,48,Delayed,-34,Short Haul,Poor
432,Emirates,1200,0,10,OnTime,10,Short Haul,Good
433,Lufthansa,4230,97,161,Delayed,64,Medium Long,Poor
434,Delta,588,158,126,OnTime,-32,Short Haul,Poor
435,Indigo,10819,45,134,Delayed,89,Long Haul,Poor
436,Delta,4313,78,33,Delayed,-45,Medium Long,Poor
437,Lufthansa,501,31,95,Delayed,64,Short Haul,Poor
438,Delta,1398,124,140,OnTime,16,Short Haul,Poor
439,Emirates,950,174,166,OnTime,-8,Short Haul,Poor
440,Emirates,4463,132,127,OnTime,-5,Medium Long,Poor
441,Lufthansa,5081,76,157,OnTime,81,Medium Long,Poor
